Order,Artist Name,Lead Streams,Feats,Tracks,One Billion,100 Million,Last Updated
237,Duki,"4,86,95,37,547","93,77,57,024",147,0,13,12.09.22
238,Swae Lee,"4,83,69,29,180","5,69,26,66,319",59,1,10,31.07.22
239,Hailee Steinfeld,"4,81,58,45,560","60,67,12,238",31,1,10,19.09.22
240,Julia Michaels,"4,81,15,39,257","1,69,08,72,391",65,1,7,16.09.22
241,Rammstein,"4,78,17,10,534","37,62,124",245,0,10,27.08.22
242,Alicia Keys,"4,77,76,78,003","1,42,79,14,798",253,0,8,17.09.22
243,Alok,"4,73,80,18,362","23,14,88,539",212,0,12,29.08.22
244,Madonna,"4,71,87,47,892","13,88,10,390",762,0,7,20.09.22
245,Jess Glynne,"4,71,23,25,038","54,33,26,342",82,1,10,18.09.22
246,Zion & Lennox,"4,71,08,87,632","2,88,71,25,495",159,0,11,31.07.22
247,Disclosure,"4,69,01,14,197","2,42,81,620",186,0,7,31.07.22
248,Christina Aguilera,"4,68,60,00,540","1,80,85,85,763",281,0,9,19.08.22
249,Kings of Leon,"4,66,94,62,543",0,121,0,8,18.09.22
250,6LACK,"4,65,03,33,571","95,28,17,602",79,0,10,03.09.22
251,Cheat Codes,"4,62,93,05,378","31,39,02,252",151,0,7,31.07.22
252,Tove Lo,"4,62,92,78,952","1,36,02,59,448",144,0,7,09.09.22
253,Creedence Clearwater Revival,"4,62,35,95,600",0,145,0,11,23.08.22
254,Florence + The Machine,"4,61,47,59,836","3,78,905",160,0,9,18.09.22
255,Florida Georgia Line,"4,60,90,41,041","2,47,87,42,591",124,0,15,21.08.22
256,My Chemical Romance,"4,60,70,83,284",0,139,0,11,14.09.22
257,Alesso,"4,59,74,95,128","13,76,41,031",129,0,10,13.08.22
258,Arijit Singh,"4,57,35,67,798","93,94,97,796",572,0,4,01.09.22
259,Glass Animals,"4,55,41,59,224","44,23,329",109,1,6,15.09.22
260,The Script,"4,55,30,52,747","13,43,266",99,1,8,12.09.22
261,Zé Neto & Cristiano,"4,54,06,09,590","46,33,13,203",169,0,13,12.09.22
262,Whitney Houston,"4,51,95,61,495","1,42,22,939",282,0,9,19.09.22
263,Chance the Rapper,"4,51,72,23,691","3,11,89,21,754",105,0,12,05.09.22
264,Piso 21,"4,51,13,25,667","6,28,04,762",86,0,12,31.07.22
265,Five Finger Death Punch,"4,50,66,17,068",0,138,0,9,31.07.22
266,Bruce Springsteen,"4,48,04,64,759","4,73,13,864",821,0,10,11.09.22
267,Arcangel,"4,47,52,57,907","5,08,18,36,495",244,0,11,11.08.22
268,Nickelback,"4,46,92,99,972",0,150,0,12,06.09.22
269,Fifth Harmony,"4,46,89,44,634","18,42,40,949",75,1,7,19.09.22
270,Lenny Tavárez,"4,44,91,61,492","3,92,42,85,642",94,0,10,31.07.22
271,Jason Mraz,"4,43,91,48,339","9,88,04,484",238,1,6,31.07.22
272,Galantis,"4,42,76,21,050","10,21,39,066",243,0,8,31.07.22
273,Avril Lavigne,"4,41,89,87,832","2,55,67,335",154,0,10,10.09.22
274,Glee Cast,"4,37,59,31,294",0,723,0,0,23.08.22
275,Bring Me The Horizon,"4,37,28,94,185","8,57,29,842",141,0,11,19.09.22
276,Ne-Yo,"4,36,86,29,006","2,24,51,44,528",204,0,10,31.07.22
277,Lil Durk,"4,36,76,16,218","3,00,93,54,038",359,0,6,17.09.22
278,Kane Brown,"4,36,44,88,364","2,97,97,048",98,0,10,31.07.22
279,Kehlani,"4,36,16,26,721","2,02,89,69,469",124,0,10,09.08.22
280,Kevin Gates,"4,35,90,21,971","73,92,86,985",314,0,6,07.08.22
281,Niall Horan,"4,33,87,26,666","51,71,35,427",69,0,11,19.09.22
282,Bryson Tiller,"4,33,06,01,767","1,29,58,54,047",70,0,8,05.09.22
283,Jonas Brothers,"4,32,98,88,033","49,82,04,068",95,1,9,07.08.22
284,Bizarrap,"4,32,66,42,648","50,39,68,381",87,0,12,14.09.22
285,Capital Bra,"4,31,72,53,980","67,38,00,705",276,0,9,07.08.22
286,Lil Tjay,"4,31,30,86,274","1,88,41,83,028",65,0,11,31.07.22
287,Snoop Dogg,"4,30,02,03,668","6,19,28,58,304",726,1,7,25.08.22
288,Macklemore & Ryan Lewis,"4,29,05,29,937","42,65,483",48,1,6,04.09.22
289,Lil Tecca,"4,27,30,63,329","30,28,58,918",79,1,11,12.09.22
290,Luke Bryan,"4,26,71,28,439","54,08,70,550",149,0,14,01.08.22
291,Natti Natasha,"4,25,31,99,571","2,14,13,23,366",93,0,9,17.09.22
292,Wisin,"4,22,62,57,427","5,36,05,62,962",131,0,10,18.08.22
293,Aerosmith,"4,21,93,98,737",0,318,0,9,17.09.22
294,Vance Joy,"4,21,62,74,820",0,87,1,9,01.08.22
295,Kelly Clarkson,"4,20,61,90,955","23,10,77,825",329,0,8,20.09.22
296,Alejandro Fernández,"4,20,12,69,620","35,22,47,735",313,0,11,31.07.22
297,Stevie Wonder,"4,19,67,23,912","30,13,58,086",657,0,11,11.09.22
298,Jennifer Lopez,"4,18,67,96,728","1,09,72,79,258",240,0,13,18.09.22
299,Johnny Cash,"4,17,43,90,143","16,37,40,766","1,679",0,7,19.08.22
300,Maná,"4,11,99,64,379","6,37,57,921",220,0,12,18.08.22
301,Thomas Rhett,"4,11,28,32,625","24,75,74,441",120,0,15,09.08.22
302,Ryan Lewis,"4,11,03,55,782","4,33,71,022",33,1,6,31.07.22
303,Artist,Lead Streams,Feats,Tracks,1b,100m,Update
304,Hans Zimmer,"4,09,23,59,874","11,98,32,137","1,545",0,3,31.07.22
305,NAV,"4,08,84,99,280","39,65,87,742",117,0,10,08.09.22
306,Lil Pump,"4,05,46,27,650","2,40,31,69,234",74,0,10,31.07.22
307,Pearl Jam,"4,05,22,31,789","7,70,42,747","2,127",0,9,31.07.22
308,James Bay,"4,05,13,55,922","1,95,78,56,299",90,0,9,12.08.22
309,Disturbed,"4,03,48,57,022","52,13,01,528",173,0,6,31.07.22
310,YG,"4,03,42,06,176","9,97,641",198,0,8,31.07.22
311,Amy Winehouse,"4,02,41,61,318","1,65,61,64,329",157,0,7,17.09.22
312,Wisin & Yandel,"4,00,45,31,845","70,94,21,106",293,0,12,31.07.22
313,YNW Melly,"3,99,19,96,348","15,60,55,221",83,0,9,31.07.22
314,Lil Skies,"3,96,83,61,888","54,40,47,899",75,0,9,22.08.22
315,Nio Garcia,"3,96,04,30,779","17,40,98,397",124,0,7,31.07.22
316,Tones And I,"3,95,78,00,698","52,32,238",33,1,5,17.09.22
317,Kesha,"3,95,53,37,905","3,94,96,270",139,0,10,15.09.22
318,Backstreet Boys,"3,94,94,66,238","64,02,079",145,1,8,18.09.22
319,Aventura,"3,94,38,57,084","4,90,58,65,217",123,0,12,01.09.22
320,Flume,"3,94,20,56,858","3,96,60,958",145,0,9,31.07.22
321,Dr. Dre,"3,94,10,98,327","69,95,74,957",75,0,8,19.09.22
322,Miguel,"3,93,35,09,386","87,36,35,526",145,0,8,31.07.22
323,Jul,"3,93,14,52,487","13,35,247",572,0,0,18.09.22
324,Lizzo,"3,91,10,61,177",0,79,0,8,12.09.22
325,Billy Joel,"3,88,54,86,622","1,87,47,880",383,0,10,16.08.22
326,ROSALÍA,"3,87,11,06,303","1,46,654",61,0,8,20.09.22
327,Calibre 50,"3,85,97,23,768","1,11,73,26,282",226,0,10,25.08.22
328,Phil Collins,"3,83,67,85,174",0,339,0,9,14.08.22
329,Matheus & Kauan,"3,83,15,62,276","6,25,40,256",179,0,12,12.09.22
330,Akon,"3,81,30,17,846","87,63,55,276",207,0,9,31.07.22
331,Jason Aldean,"3,79,78,16,243","1,134",166,0,8,31.07.22
332,Eagles,"3,78,47,92,723","43,61,78,161",189,1,8,23.08.22
333,George Ezra,"3,74,59,77,355","3,85,39,99,824",76,0,7,07.09.22
334,Yandel,"3,73,17,24,067","19,45,35,961",175,0,9,31.07.22
335,Prince Royce,"3,72,43,76,964",0,127,0,10,31.07.22
336,The Offspring,"3,71,32,19,015","4,31,04,89,285",159,0,7,13.08.22
337,24kGoldn,"3,70,56,48,954","1,03,63,88,958",62,1,7,31.07.22
338,Three Days Grace,"3,69,86,65,397","93,77,57,024",96,0,8,31.07.22
339,Wesley Safadão,"3,69,83,14,476","5,69,26,66,319",283,0,6,31.07.22
